,img,type,label,confidence
514,img_00061,Text,tte,63.73769760131836
515,img_00061,Text,tte,69.7679672241211
516,img_00061,Text,tte VICTORIAS SECRET,74.89510345458984
517,img_00061,Text,ve,73.92023468017578
518,img_00061,Text,CREAM CREAM CREAM CREAM CREAM,88.32569122314453
519,img_00061,Text,LIP STAIN LIP STAIN LIP STAIN UP STAIN LIP STAIN,82.03829193115234
520,img_00061,Text,VICTORIAS,84.23234558105469
521,img_00061,Text,VICTORIAS,85.07323455810547
522,img_00061,Text,ICTORI,73.96966552734375
523,img_00061,Text,VICTORIAS,83.22818756103516
524,img_00061,Text,VICTORIAS,82.86406707763672
525,img_00061,Text,SECRET,84.29964447021484
526,img_00061,Text,SECRET,79.46842193603516
527,img_00061,Text,SECRET,84.16095733642578
528,img_00061,Text,tte,69.28529357910156
529,img_00061,Text,tte,69.7679672241211
530,img_00061,Text,tte,57.660274505615234
531,img_00061,Text,Tte,63.82746887207031
532,img_00061,Text,tte,63.73769760131836
533,img_00061,Text,ve,73.92023468017578
534,img_00061,Text,CREAM,89.21537017822266
535,img_00061,Text,CREAM,86.93152618408203
536,img_00061,Text,CREAM,88.79177856445312
537,img_00061,Text,CREAM,88.5905532836914
538,img_00061,Text,CREAM,88.09922790527344
539,img_00061,Text,LIP STAIN,79.9458999633789
540,img_00061,Text,LIP STAIN,86.6055679321289
541,img_00061,Text,LIP STAIN,84.29886627197266
542,img_00061,Text,UP STAIN,83.27314758300781
543,img_00061,Text,LIP STAIN,76.0679931640625
544,img_00062,Label,Human,99.24559783935547
545,img_00062,Label,People,99.24559783935547
546,img_00062,Label,Person,99.24559783935547
547,img_00065,Label,Human,99.30961608886719
548,img_00065,Label,People,99.30961608886719
549,img_00065,Label,Person,99.30961608886719
550,img_00065,Celebrity,Marianne Steinbrecher,99.99516296386719
551,img_00067,Text,tos,71.38739013671875
552,img_00067,Text,tos,71.38739013671875
553,img_00070,Label,Human,99.0107650756836
554,img_00070,Label,People,99.01075744628906
555,img_00070,Label,Person,99.0107650756836
556,img_00070,Label,Bed,86.71320343017578
557,img_00070,Label,Furniture,86.71320343017578
558,img_00070,Label,Toilet,76.84748077392578
559,img_00070,Label,Bedroom,75.61202239990234
560,img_00070,Label,Indoors,75.61202239990234
561,img_00070,Label,Interior Design,75.61202239990234
562,img_00070,Label,Room,75.61202239990234
563,img_00071,Label,Human,99.30992126464844
564,img_00071,Label,People,99.30992126464844
565,img_00071,Label,Person,99.30992126464844
566,img_00071,Label,Flora,99.28225708007812
567,img_00071,Label,Jar,99.28225708007812
568,img_00071,Label,Plant,99.28225708007812
569,img_00071,Label,Potted Plant,99.28225708007812
570,img_00071,Label,Pottery,99.28225708007812
571,img_00071,Label,Vase,99.28225708007812
572,img_00071,Label,Blouse,85.34882354736328
573,img_00071,Label,Clothing,85.34882354736328
574,img_00071,Label,Luggage,80.7166748046875
575,img_00071,Label,Suitcase,80.7166748046875
576,img_00071,Celebrity,Terri J. Vaughn,99.99993133544922
577,img_00071,Text,O,50.13724136352539
578,img_00071,Text,O,50.13724136352539
579,img_00073,Label,Paint Container,98.16824340820312
580,img_00073,Label,Palette,98.16824340820312
581,img_00073,Text,DESER SAND MUSK EDEN,77.96563720703125
582,img_00073,Text,AMBER oD MOON,80.70919799804688
583,img_00073,Text,CELESTIAL,87.45945739746094
584,img_00073,Text,NEFERTITI TILIGHT METHYST OYAL aOGRADE,85.50810241699219
585,img_00073,Text,ASHMEAE AUGELIC COSMO oxISHDEL,80.14154815673828
586,img_00073,Text,SAFFRON,94.54010772705078
587,img_00073,Text,AZING,91.82816314697266
588,img_00073,Text,DESER,77.15264892578125
589,img_00073,Text,SAND,67.27664184570312
590,img_00073,Text,MUSK,82.6007080078125
591,img_00073,Text,EDEN,84.83253479003906
592,img_00073,Text,AMBER,85.44535064697266
593,img_00073,Text,CELESTIAL,87.45945739746094
594,img_00073,Text,oD MOON,75.9730453491211
595,img_00073,Text,NEFERTITI,84.98802185058594
596,img_00073,Text,TILIGHT,79.09738159179688
597,img_00073,Text,METHYST,89.974609375
598,img_00073,Text,ASHMEAE,90.40232849121094
599,img_00073,Text,OYAL,84.99691772460938
600,img_00073,Text,AUGELIC,80.08778381347656
601,img_00073,Text,aOGRADE,88.48358154296875
602,img_00073,Text,COSMO,75.1859359741211
603,img_00073,Text,oxISHDEL,74.89015197753906
604,img_00073,Text,SAFFRON,94.54010772705078
605,img_00073,Text,AZING,91.82816314697266
606,img_00075,Label,Human,99.02687072753906
607,img_00075,Label,People,99.02685546875
608,img_00075,Label,Person,99.02687072753906
609,img_00075,Label,Animal,85.33098602294922
610,img_00075,Label,Cat,85.33098602294922
611,img_00075,Label,Mammal,85.33098602294922
